Survived	Pclass	Sex	Age	Siblings/Spouses Aboard	Parents/Children Aboard	Fare	rand-feature
0	3	1	1	4	1	39.6875	0.695318218
0	2	1	37	0	0	0	2.890290044
0	3	1	4	4	2	31.275	2.21593846
0	3	0	14.5	1	0	14.4542	0.619202885
1	3	1	7	1	1	15.2458	1.24914577
1	2	0	21	0	0	10.5	1.39051899
0	2	1	28	0	0	13	2.694398589
0	3	1	28	0	0	8.05	1.721905895
1	1	0	19	1	0	91.0792	0.538057672
0	3	1	54	0	0	7.25	2.617975718
0	3	1	11	5	2	46.9	1.607310715
0	3	1	19	0	0	7.75	2.74922645
0	3	1	18	1	0	6.4958	1.574032579
0	1	1	54	0	0	51.8625	0.611371608
0	1	1	45	0	0	35.5	2.460516144
1	1	0	48	0	1	55	0.817686832
1	1	1	45	0	0	26.55	0.316697678
0	3	1	19	0	0	7.8958	0.667182853
0	3	1	4	3	2	27.9	0.82430429
0	3	1	26	0	0	14.4583	2.717420056
0	3	1	26	1	2	20.575	2.735075785
0	2	1	25	0	0	13	0.56895144
0	2	1	23	0	0	13	2.150536982
1	1	0	45	1	1	164.8667	0.377337577
1	1	0	26	0	0	78.85	0.358189305
0	3	1	22	0	0	7.7958	2.785783125
0	2	1	19	0	0	13	0.713751544
0	3	1	41	0	0	7.125	1.438742213
1	2	0	24	1	2	65	2.233329977
0	2	1	22	0	0	0	2.918892365
1	3	1	19	0	0	8.05	2.148705877
0	2	1	44	1	0	26	0.900334409
1	3	0	22	0	0	7.75	1.271492615
0	1	1	40	0	0	27.7208	2.130400371
1	3	0	31	0	0	8.6833	2.936869862
0	3	1	17	0	0	7.125	0.610583595
0	3	0	9	3	2	27.9	1.895607344
0	2	1	31	1	1	37.0042	1.125200063
0	2	1	29	1	0	21	1.659611178
0	3	1	37	0	0	8.6625	2.062171266
0	1	1	28	1	0	82.1708	2.840405268
1	3	1	20	1	1	15.7417	0.951428026
1	1	0	25	1	0	82.1708	0.374883484
0	3	0	18	0	0	6.75	1.241116907
1	3	1	25	0	0	0	0.330358499
0	3	1	14	4	1	39.6875	2.808798589
0	3	1	36	0	0	7.4958	1.309619471
1	3	1	4	1	1	15.2458	2.270602867
1	3	0	0.75	2	1	19.2583	1.880365527
1	2	0	33	0	2	26	2.849560256
0	3	0	30	1	1	24.15	0.570761374
1	2	1	1	0	2	37.0042	1.770958286
0	3	1	35	0	0	7.05	2.036755492
0	3	1	30	1	0	16.1	2.698469821
0	3	1	23	0	0	9.225	0.857044986
0	2	0	38	0	0	13	0.357066641
0	1	1	50	1	0	55.9	2.379979808
1	3	0	27	0	0	7.75	0.088432989
0	3	1	27	0	0	6.8583	2.795022623
0	3	1	24	0	0	7.4958	0.223722611
0	3	1	30	0	0	7.2292	2.212890003
0	1	1	47	0	0	34.0208	1.420946945
0	3	1	24.5	0	0	8.05	2.691633898
0	3	0	30	0	0	8.6625	1.900398478
1	1	0	39	1	1	79.65	1.391410264
1	3	0	13	0	0	7.2292	0.567578693
0	3	1	24	2	0	24.15	2.80252082
1	3	0	19	0	0	7.8792	2.557476419
0	3	1	22	0	0	7.25	1.119497765
0	1	1	47	0	0	52	2.861582415
0	3	1	17	0	0	8.6625	1.235404594
0	2	1	30	0	0	13	0.172690945
0	3	0	14	0	0	7.8542	0.841203861
1	1	0	22	0	0	151.55	1.836430926
1	3	1	29	0	0	7.8958	1.164001204
1	1	0	54	1	0	59.4	2.668560919
0	3	1	26	0	0	7.8958	1.701394061
0	3	1	23	0	0	14.5	1.494594316
1	2	0	28	0	0	12.65	2.193493292
